id,publishedAt,channelId,title,channelTitle,tags,duration,dimension,definition,caption,licensedContent,contentRating,projection,viewCount,likeCount,favoriteCount,commentCount
mHakccq-GmQ,2023-10-30T12:00:12Z,UC4TqyXMCW0c08N7aRfqxq9A,GIN TUẤN KIỆT x PUKA | Em Này [Official MV],Gin Tuấn Kiệt,"['Gin Tuấn Kiệt', 'Em Này', 'GinPu', 'Gin Tuan Kiet Puka', 'Đám cưới Gìn Tuat Kiệt Puka', 'GinPu Wedding', 'em này gin tuấn kiệt', 'em nay gin tuan kiet', 'mv gin tuấn kiệt', 'gin tuấn kiệt puka', 'mv gin tuấn kiệt puka', 'mv em này', 'em nay', 'em nay puka', 'em này puka', 'gin tuấn kiệt và puka', 'gin tuấn kiệt', 'gin tuan kiet', 'puka', 'mv đám cưới', 'mv nhạc cưới', 'cặp đôi gin tuấn kiệt và puka']",PT4M51S,2d,hd,false,True,{},rectangular,2304186,65414,0,3317
HFDoBL7FKsw,2023-10-30T11:45:01Z,UC2k3OPgIJWjp63Y2hrxdHHA,CÔ ĐƠN ĐÃ QUÁ BÌNH THƯỜNG - MIU LÊ | (Official MV) ft. OnlyC Pro.,Miu Lê Official,"['miu lê', 'miu lê official', 'miu le', 'miu le official', 'miu lê mv', 'miu lê mv mới nhất', 'ca si miu le', 'nhạc miu lê mới nhất', 'cô đơn đã quá bình thường', 'cô đơn đã quá bình thường miu lê', 'cô đơn đã quá bình thường mv', 'mv cô đơn đã quá bình thường', 'cô đơn đã quá bình thường lyrics', 'co don da qua binh thuong', 'official music video', 'mv mới nhất', 'mv mới', 'nhạc việt mới', 'cô đơn', 'co don', 'miule cô đơn đã quá bình thường', 'vpop mới nhất', 'onlyc', 'only c', 'cảm giác có những nỗi đau']",PT4M58S,2d,hd,true,True,{},rectangular,3024255,37913,0,2326
r9wkkh4zTOw,2023-10-27T09:00:44Z,UCZRWf-SUOu4c8FSq2ezH-Zw,Cảnh Sát Này Lạ Lắm||  Who Is The Real Criminal? #shorts,Bon Bon TV,"['bon bon tv', 'bon bon short', '#short', 'quái Vật Đầu Loa', 'Love', 'Poor Boy', 'Bad Friends', 'prank balloons', 'prank', 'youtube short', 'tik tok vui nhộn', 'tik tok', 'Spider- man', 'siêu nhân nhện', 'siêu nhân', 'người nhện', 'Toilet Skibidi', 'Cameraman', 'Cameraman Vs Skibidi Toilet In Real Life', 'Skibidi Toilet In Real Life', 'In Real Life', 'Video TikTok hay nhất', 'Video TikTok', 'TikTok hay nhất', 'Cảnh Sát Này Lạ Lắm', 'Who Is The Real Criminal?']",PT1M,2d,hd,false,True,{},rectangular,55886454,,0,852
K1Wc7uA91zo,2023-10-28T07:45:01Z,UC-B3lKAktiHyLwFv7TRq2xg,Miệng thì hứa CÁI CUỐI CÙNG | Khiết Đan #shorts #khietdan #comedy,Khiết Đan,"['Khiết Đan', 'KhiếtĐan', 'khiếtđan', 'khiet dan', 'khietdan', 'KHIẾT ĐAN', 'KHIET DAN', 'comedy', 'hài hước', 'diễn viên khiết đan', 'Khiết Đan Comedy', 'tiktoker khiết đan', 'tiktok comedy', 'shorts', 'shorts khiết đan', 'khiết đan tiktok', '@dienvienkhietdan', 'Miệng thì hứa CÁI CUỐI CÙNG | Khiết Đan #shorts #khietdan #comedy', 'khiết đan comedy', 'Miệng thì hứa CÁI CUỐI CÙNG | Khiết Đan']",PT23S,2d,hd,false,True,{},rectangular,3377465,69547,0,499
ABDl__2MHk0,2023-11-06T08:59:06Z,UC475tLo6Mop8IYXgvdnJy8w,Cậu bé IQ 300 có khả năng phá án siêu đỉnh - tóm tắt phim Through The Darkness,Phim Ngôn Tình Tv,"['review phim', 'review phim hay', 'tóm tắt phim', 'phim hay', 'phim moi', 'vua phim mới', 'vua phim', 'review phim hài', 'tom tat phim', 'review phim hàn', 'review anime', 'tóm tắt anime', 'phim hành động', 'phim hanh dong vo thuat', 'phim hay 2022', 'phim lẻ hay', 'review phim mới', 'vua phim moi', 'vua phim review', 'phá án siêu đỉnh']",PT1H31M46S,2d,hd,false,True,{},rectangular,1796080,56640,0,239
gbD_zfI29EQ,2023-11-06T09:00:34Z,UC5fsYtWjjzy8D13cn4UKVMQ,"Gấu Đỏ TV - Thử Thách Vẽ Titan Cameraman , Vẽ Naruto Và Spider MAN Vs Venom",Gấu Đỏ TV  & Family,"['gấu đỏ', 'gấu đỏ tv', 'anh gấu đỏ', 'gấu đỏ thử thách', 'gấu đỏ tivi', 'Gấu Đỏ TV Thử Thách Vẽ Titan Cameraman', 'Vẽ Naruto', 'Spider MAN Vs Venom', 'Spider MAN', 'Venom', 'Gấu Đỏ TV Thử Thách Vẽ', 'Gấu Đỏ TV Thử Thách Vẽ Titan', 'Titan Cameraman', 'Vẽ Titan Cameraman', 'naruto']",PT23M44S,2d,hd,false,True,{},rectangular,796282,3080,0,101
ms5uznuQpD8,2023-11-06T03:02:08Z,UCtVt72Xq0qMvRSfyDDiqHhw,A Páo anh chàng Nghệ An được lòng khán giả tại Sàn chiến giọng hát #shorts #tap9  #apao,MEGA GS MUSIC,"['sàn chiến giọng hát', 'san chien giong hat', 'bạch công khanh', 'mega gs music', 'mega gs', 'sàn chiến', 'giong hat', 'san chien', 'mega gs entertainment', 'megags', 'megagsent', 'sàn chiến giọng hát mùa 5', 'san chien giong hat mua 5', 'san chien giong hat mega gs', 'sàn chiến giọng hát mega gs', 'bach cong khanh', 'hồng đào', 'hồng vân', 'lý hùng', 'kim tử long', 'quang hà', 'san chien giong hat mua 5 mega gs', 'sàn chiến giọng hát mùa 5 mega gs', 'mùa 5 sàn chiến giọng hát', 'mua 5 sàn chien giọng hat']",PT59S,2d,hd,false,False,{},rectangular,1674823,22055,0,509
nyl4psMr3Ys,2023-10-28T10:00:13Z,UConnM5zwOP9vG_LPTYbRsAg,Thử Thách Cắm Trại Đấu Giá Với Khách Mời - Tập 3: Cắm Trại Theo Số Đo 3 Vòng | 0 SAO vs 9 SAO,Lâm Vlog,"['Lâm Vlog', 'Lam Vlog', 'lamvlog', 'Lâm', 'LAM', 'Cắm Trại', 'Thử Thách Cắm Trại Với Khách Mời', 'Thử Thách Cắm Trại', 'Thử Thách', 'Cắm Trại Với Khách Mời', 'Với Khách Mời', 'Thử Thách Cắm Trại Đấu Giá Với Khách Mời', 'Cắm Trại Đấu Giá', 'Đấu Giá Với Khách Mời', 'Cắm Trại Với Khách Mời', 'Cắm Trại Đấu Giá Với Khách Mời Tập 3', 'Tập 3', 'Cắm Trại Theo Số Đo 3 Vòng', '0 SAO vs 9 SAO', 'Cắm Trại Đấu Giá Với Khách Mời Theo Số Đo 3 Vòng', 'Cắm Trại Đấu Giá Với Khách Mời| 0 SAO vs 9 SAO', '0 SAO', '9 SAO']",PT1H9M34S,2d,hd,false,True,{},rectangular,3134230,69757,0,2238
Yh4mq8T58ys,2023-10-27T10:00:33Z,UCDt2sv8-Uw3ziTy2G7Bjktw,Bách Khỉ - Cô Gái May Mắn Nhất Kì Thi | Hài Ngắn Sẽ Gầy 1,Bách Khỉ,"['bachkhineptue', 'bach khi', 'bach', 'ha quang bach', 'hat duong pho', 'bach khi neptue', 'public', 'funny']",PT1M,2d,hd,false,True,{},rectangular,3470601,78295,0,98
Jt4DgDncQ2g,2023-11-02T02:21:22Z,UCzgN9ZHWGlyk23LysJskf9Q,Đảo Giấu Vàng P3.        #freefire #viettigervqc,Việt Tiger ＶＱＣ,"['việt tiger vqc', 'việt tiger', 'viettigervqc', '#viettigervqc', 'hoang em vlog', 'sự kiện free fire', 'highlight sonia', 'free fire reaction', 'highlight free fire', 'freefire highlight', 'huy hiệu thiết kế bản đồ', 'cách cày sự kiện free fire', 'ob42 new character free fire', 'cách leo rank free fire hiệu quả', 'free fire', 'garena free fire', 'rikaki free fire', 'free fire live', 'tik tok free fire', 'free fire battlegrounds', 'free fire exe', 'free fire meme', 'game free fire', 'free fire đại chiến', 'free fire garena']",PT59S,2d,hd,false,True,{},rectangular,1811540,71892,0,60
s9Qp0QtLiC8,2023-11-03T04:00:27Z,UCAzZdEu3MjJ7kdJD-u2083Q,Phước Lộc Gaming | Mọi người ơi mình không còn lựa chọn nữa anh ấy thật quá đáng😭,Phước Lộc Gaming,,PT1M,2d,hd,false,True,{},rectangular,1214584,122190,0,370
3i7Furq4UNs,2023-11-01T11:30:09Z,UCfDrdfgDyeF_h3Y8klV0e0w,Ứa Lệ - Vợ Đám Cưới Cùng Anh Hàng Xóm Nghe Chồng Nói Lý Do Khiến Triệu Người Phải Khóc,Hồng Ka vlogs,"['Hồng Ka vlogs', 'Hồng Ka', 'hồngka vlogs', 'hồng', 'ka vlogs', 'hkvlogs', 'thiện nguyện', 'vợ bỏ', 'vợ theo trai', '3 cha con vợ bỏ', 'mẹ theo trai', 'Ứa Lệ - Vợ Đám Cưới Cùng Anh Hàng Xóm Nghe Chồng Nói Lý Do Khiến Triệu Người Phải Khóc']",PT51M23S,2d,hd,false,True,{},rectangular,848541,4908,0,1136
W2LweGRlbYs,2023-10-28T09:55:00Z,UCPhHBEtG6dVZ5fJKoNArcJw,이모티콘 순서대로 먹기,승비니 Seungbini,,PT33S,2d,hd,false,True,{},rectangular,44417693,1023571,0,8185
IkgAgbqF6g0,2023-10-29T12:00:20Z,UCZxUVZjMMx_xIjRuHyi4tUg,Cô em gái đưa con tôm mà bố đã bóc vỏ cho chị gái ăn #hài#bố#vui #đồ #video#cuộc #em #buồn #đứa #cha,DuDu—em bé dễ thương,"['Hài hước', 'em bé dễ thương', 'tiêu chuẩn kép', 'con thứ hai', 'em gái', 'gia đình', 'hạnh phúc', 'kịch', 'gia đình vui nhộn', 'toot', 'em bé']",PT27S,2d,hd,false,True,{},rectangular,2429875,34140,0,39
iQ1ST6QbfiA,2023-10-28T10:30:15Z,UCYd8eNMptkrGQs5F1JFHgMA,Á Hậu Diễm Châu lên tiếng về 5 đứa con: bán bánh tráng trộn lấy tiền XIN GIỐNG #shorts,BẠN MUỐN HẸN HÒ,"['ban muon hen ho', 'ban muon hen ho 2023', 'bạn muốn hẹn hò', 'bạn muốn hẹn hò 2023', 'bạn muốn hẹn hò hài hước nhất', 'bạn muốn hẹn hò hay nhất', 'bạn muốn hẹn hò tập mới nhất', 'bạn muốn hẹn hò cát tường', 'mc quyền linh', 'bạn muốn hẹn hò hay nhất 2023', 'ban muon hen ho 2022', 'bmhh hay nhất 2023', 'hẹn hò hay nhất 2023', 'bmhh 2023', 'mc quyền linh bạn muốn hẹn hò', 'ông mai quyền linh', 'mc quyền linh mới nhất', 'genre:talkshow', 'source:entertainment', 'series:BMHH', 'topic:dating', 'type:broadcast', 'format:compilation']",PT1M,2d,hd,false,True,{},rectangular,2007633,16828,0,163
P-nx3tD10QM,2023-11-15T10:16:19Z,UC74CatIFgb1a1Ff3IUD_f4w,Hoàng Hôn | Khi Bố Mẹ Người Yêu Không Thích Wibu Kiểu #Shorts,Hoàng Hôn Official,"['hoàng hôn', 'hoang hon', 'hoàng hôn official', 'hoàng hôn tiktok', 'tổng hợp tiktok', 'tổng hợp tik tok triệu view', 'tấu hài', 'tiktok', 'best of tiktok', 'tiktok 2023', 'tik tok', 'tiktok trend', 'tiktok việt nam', 'trào lưu tik tok', 'tổng hợp clip hài tik tok', 'clip hài tik tok', 'clip hài tiktok', 'hot tiktok', 'tổng hợp trend tiktok', 'tiktok nhiều view nhất', 'shorts', 'comedy', 'funny', 'trend tiktok', 'wibu', 'người yêu là wibu', 'khi bố mẹ người yêu phản đối', 'khi bố mẹ người yêu không thích bạn']",PT59S,2d,hd,false,True,{},rectangular,944535,26686,0,171
saSWUDuEAt0,2023-10-28T12:00:48Z,UC2BEmluQX1foBrR3oLMiB_g,Skibidi Toilets Mood COMPLETE EDITION #shorts #animation #memes,Skinny Pale,"['shorts', 'memes', 'trending', 'skinnypale', 'garten of banban', 'banban', 'opila bird', 'jumbojosh', 'banbaleena', 'captain', 'fiddles', 'stinger', 'flynn', 'nabnab', 'rainbow', 'friends', 'amandatheadventurer #skibidi']",PT13S,2d,hd,false,True,{},rectangular,21421169,695351,0,912
