id,publishedAt,channelId,title,channelTitle,tags,dimension,description,viewCount,likeCount,commentCount
w3LgS4PXZXQ,2019-04-12T14:28:41Z,UC2Lgi2uPsOcCVF3imz7l2mg,#1 Chủ tịch tung thính và cái kết chốt hạ đầy bất ngờ | NGƯỜI ẤY LÀ AI? - Mùa 2,Vie GIẢITRÍ,"['người ấy là ai tập 1 mua 2', 'lukkade', 'người ấy là ai', 'chuong trinh nguoi ay la ai', 'tap 1 mua 2', 'tập 1 người ấy là ai', 'nguoi ay la ai mua 2 tap 1', 'chương trình người ấy là ai', 'vie giai tri', 'chủ tịch', 'giai tri tv', 'nguoi ay la ai', 'nguoi ay la ai tap 1', 'show việt', 'độc thân', 'đã có chủ', 'hương giang', 'huong giang', 'LGBT', 'mai tien dung', 'mai tiến dung', 'mc trấn thành', 'tóc tiên', 'toc tien', 'tran thanh', 'truyen hinh', 'htv2channel', 'shopee', 'chu tich', 'chủ tịch và cái kết', 'boy with luv']",PT1H51M22S,NguoiAyLaAi #Mua2 #HTV2VieChannel #NALA #Tap1 #Tran_Thanh #Huong_Giang #Lukkade #Toc_Tien #Mai_Tien_Dung ...,13938865,70731,7711
5wA7wTxWO4E,2020-05-29T14:00:12Z,UC2Lgi2uPsOcCVF3imz7l2mg,"#4 Người yêu cũ làm em tổn thương vì phản bội, đừng trách mình vì đã có anh| NGƯỜI ẤY LÀ AI - MÙA 3",Vie GIẢITRÍ,"['vie giai tri', 'giai tri tv', 'người ấy là ai', 'nguoi ay la ai', 'người ấy là ai mùa 3', 'nguoi ay la ai mua 3', 'trấn thành', 'hương giang', 'huong giang', 'adodda', 'thuận nguyễn', 'trinh thang binh', 'trịnh thăng bình', 'kha nhu', 'khả như', 'ninh duong lan ngoc', 'ninh dương lan ngọc', 'bb tran', 'bb trần', 'come out', 'lgbt', 'denis đặng', 'tóc tiên', 'huynh lap', 'ngọc trinh', 'duc phuc', 'erik', 'lukkade', 'lukkade huong giang', 'hen hò', 'hòa minzy', 'anh đức', 'trường giang', 'không thể cùng nhau suốt kiếp', 'bảo anh']",PT2H31M36S,NgườiẤyLàAi #NguoiAyLaAiMua3 #VieChannelHTV2 #VieGiảiTrí #NALA3 #Lukkade #Tran_Thanh #Huong_Giang Đón xem ...,11637076,74945,8105
8mItWIx3cs0,2020-05-22T14:00:11Z,UC2Lgi2uPsOcCVF3imz7l2mg,"#3 Đàn ông dở nhất là phản bội, còn em không sai khi loại bỏ cơ hội cho anh | NGƯỜI ẤY LÀ AI - MÙA 3",Vie GIẢITRÍ,"['vie giai tri', 'giai tri tv', 'người ấy là ai', 'người ấy là ai mùa 3', 'nguoi ay la ai mua 3', 'tran thanh', 'trấn thành', 'hương giang', 'huong giang', 'adodda', 'thuận nguyễn', 'trinh thang binh', 'kha nhu', 'khả như', 'ninh duong lan ngoc', 'ninh dương lan ngọc', 'bb tran', 'bb trần', 'come out', 'bạn muốn hẹn hò', 'lgbt', 'tóc tiên', 'huynh lap', 'ngọc trinh', 'duc phuc', 'erik', 'lukkade', 'lukkade huong giang', 'hen hò', 'hòa minzy', 'anh đức', 'trường giang', 'anh tú', 'bích phương', 'không thể cùng nhau suốt kiếp hoà minzy']",PT2H43S,NgườiẤyLàAi #NguoiAyLaAiMua3 #VieChannelHTV2 #VieGiảiTrí #NALA3 #Miu_Lê #Tran_Thanh #Huong_Giang Đón xem ...,10766336,67021,7397
Emn5Eg7vW6w,2020-06-19T14:00:13Z,UC2Lgi2uPsOcCVF3imz7l2mg,"#7 Yêu em bằng trái tim chân thật, chỉ tiếc rằng sự thật khiến mình chia xa | NGƯỜI ẤY LÀ AI - MÙA 3",Vie GIẢITRÍ,"['vie giai tri', 'giai tri tv', 'người ấy là ai', 'nguoi ay la ai', 'người ấy là ai mùa 3', 'nguoi ay la ai mua 3', 'trấn thành', 'hương giang', 'huong giang', 'adodda', 'khả như', 'ninh duong lan ngoc', 'ninh dương lan ngọc', 'bb tran', 'come out', 'bạn muốn hẹn hò', 'lgbt', 'denis đặng', 'ngọc trinh', 'duc phuc', 'erik', 'lukkade', 'hen hò', 'bích phương', 'một cú lừa', 'cung đàn vỡ đôi', 'chipu', 'mình hằng', 'khả ngân', 'hòa minzy', 'quang trung', 'khả', 'trọng hiếu', 'người ấy là ai tập 7', 'nguoi ay la ai tap 7', 'tập 7 người ấy là ai']",PT2H31M33S,NgườiẤyLàAi #NguoiAyLaAiMua3 #VieChannelHTV2 #VieGiảiTrí #NALA3 #Khả_Như #Tran_Thanh #Huong_Giang Đón xem ...,10499629,69942,8126
QpWE0MgenuQ,2020-06-26T14:00:12Z,UC2Lgi2uPsOcCVF3imz7l2mg,"#8 Yêu thì yêu em không ngần ngại, cô gái ngày xưa không khờ dại nữa rồi| NGƯỜI ẤY LÀ AI - MÙA 3",Vie GIẢITRÍ,"['vie giai tri', 'giai tri tv', 'người ấy là ai', 'nguoi ay la ai', 'người ấy là ai mùa 3', 'nguoi ay la ai mua 3', 'trấn thành', 'hương giang', 'huong giang', 'adodda', 'come out', 'bạn muốn hẹn hò', 'lgbt', 'denis đặng', 'duc phuc', 'erik', 'lukkade', 'lukkade huong giang', 'hen hò', 'bích phương', 'cung đàn vỡ đôi', 'chipu', 'jun phạm', 'chạy đi chờ chi', 'quang trung', 'gạo nếp gạo tẻ', 'thúy ngân', 'gil lê', 'chi pu', 'huỳnh lập', 'chị cano', 'lan phương', 'hoàng thùy linh', 'người ấy là ai tập 8', 'tập 8 người ấy là ai']",PT2H20M46S,NgườiẤyLàAi #NguoiAyLaAiMua3 #VieChannelHTV2 #VieGiảiTrí #NALA3 #Gil_Lê #Tran_Thanh #Huong_Giang Đón xem ...,10409616,59201,6498
tV8Ao35kt8E,2022-11-14T11:07:16Z,UCOOnw7df5NTnYk5Rjb5Gl1Q,Chaukhadi2107 | Gôm nam châm và bút độc lạ 🤪 #shorts #viral #diy #fun #tiktok #fyp #study #handmade,Châu Khả Di,"['châu khả di', 'tiktok châu khả di', 'châu khả di bullet journal', 'châu khả di trang trí sổ', 'bullet journal', 'trang trí sổ', 'trang trí sổ tay', 'cách trang trí sổ tay', 'bullet journal setup', 'bullet journal ideas', 'how to bullet journal', 'cách trang trí sổ', 'trang trí sổ bằng sticker', 'trang trí sổ tay đơn giản', 'bullet journal đơn giản', 'cách làm bullet journal', 'plan with me', 'trang trí sổ tiktok', 'bullet journal tiktok', 'tiktok trang trí sổ', 'decor notebook', 'chau kha di', 'châu khả di tiktok']",PT35S,Chỗ sắm đồ Di xài ở đây     https://chaukhadi.carrd.co Tiktok: @chaukhadi2107 Instagram: chaukhadi #chaukhadi ...,18123400,281305,341
aaHN634qRHY,2022-03-21T04:57:55Z,UCOOnw7df5NTnYk5Rjb5Gl1Q,Chaukhadi2107 | Khám Phá Hạt Đậu Ma Thuật #shorts #diy #handmade #study #studywithme ##viral #review,Châu Khả Di,"['Dụng cụ làm bullet journal', 'Trang trí sổ', 'Hướng dẫn', 'Tổng Hợp TikTok', 'Bullet Journal', 'Stationery Haul', 'dụng cụ trang trí', 'trang trí sổ tay', 'cách trang trí sổ tay', 'mẹo trang trí sổ tay', 'plan with me', 'tiktok Châu Khả Di', 'Châu Khả Di trang trí sổ', 'trang trí sổ', 'trang tri so', 'Châu Khả Di', 'ChauKhaDi', 'Châu Khả Di BulletJournal', 'hướng dẫn trang trí sổ', 'sổ tay']",PT38S,"Helloooo mọi ngườiiiii, sau bao lần “quậy” ở nhà thì cuối cùng Di cũng đã ra đường thử thêm pha quậy mới Các bạn thấy mẫu ...",17948943,493531,1377
NpgbVy7TcGg,2022-03-27T03:10:32Z,UCOOnw7df5NTnYk5Rjb5Gl1Q,Chaukhadi2107 | Ôn Lại Tuổi Thơ Với Hạt Nhựa Thần Kỳ #shorts #diy #handmade #studywithme #fun #viral,Châu Khả Di,"['Dụng cụ làm bullet journal', 'Trang trí sổ', 'Hướng dẫn', 'Tổng Hợp TikTok', 'Bullet Journal', 'Stationery Haul', 'dụng cụ trang trí', 'trang trí sổ tay', 'cách trang trí sổ tay', 'mẹo trang trí sổ tay', 'plan with me', 'tiktok Châu Khả Di', 'Châu Khả Di trang trí sổ', 'trang trí sổ', 'trang tri so', 'Châu Khả Di', 'ChauKhaDi', 'Châu Khả Di BulletJournal', 'hướng dẫn trang trí sổ', 'sổ tay']",PT50S,"Helloooo mọi ngườiiiii, sau bao lần “quậy” ở nhà thì cuối cùng Di cũng đã ra đường thử thêm pha quậy mới Các bạn thấy mẫu ...",12231730,381821,768
a45yzvvBU9g,2022-09-27T11:07:16Z,UCOOnw7df5NTnYk5Rjb5Gl1Q,Chaukhadi2107 | Hú hồn làm theo mẹo trên mạng #shorts #diy #viral #fun #study #fyp #handmade #tiktok,Châu Khả Di,"['Dụng cụ làm bullet journal', 'Trang trí sổ', 'Hướng dẫn', 'Tổng Hợp TikTok', 'Bullet Journal', 'Stationery Haul', 'dụng cụ trang trí', 'trang trí sổ tay', 'cách trang trí sổ tay', 'mẹo trang trí sổ tay', 'tiktok Châu Khả Di', 'Châu Khả Di trang trí sổ', 'trang trí sổ', 'trang tri so', 'Châu Khả Di', 'ChauKhaDi', 'Châu Khả Di BulletJournal', 'hướng dẫn trang trí sổ', 'sổ tay', 'bàn học', 'set up bàn học trong mơ', 'trang trí bàn học', 'desk decor', 'trang trí bàn học có kệ', 'setup bàn học', 'setup bàn làm việc']",PT31S,Mê viết chữ và yêu bún bò Chỗ sắm đồ Di xài ở đây     https://chaukhadi.carrd.co Tiktok: @chaukhadi2107 Instagram: ...,12159053,244674,387
9ovkM69FLbg,2023-01-14T12:35:47Z,UCOOnw7df5NTnYk5Rjb5Gl1Q,Chaukhadi2107 | Xếp Hình Mèo Vào Lọ Trong Suốt #shorts #diy #fun #fyp #viral #tiktok #handmade #fypシ,Châu Khả Di,"['châu khả di', 'tiktok châu khả di', 'châu khả di bullet journal', 'châu khả di trang trí sổ', 'bullet journal', 'trang trí sổ', 'trang trí sổ tay', 'cách trang trí sổ tay', 'bullet journal setup', 'bullet journal ideas', 'how to bullet journal', 'cách trang trí sổ', 'trang trí sổ bằng sticker', 'trang trí sổ tay đơn giản', 'bullet journal đơn giản', 'cách làm bullet journal', 'plan with me', 'trang trí sổ tiktok', 'bullet journal tiktok', 'tiktok trang trí sổ', 'decor notebook', 'chau kha di', 'châu khả di tiktok']",PT56S,Chỗ sắm đồ Di xài ở đây     https://chaukhadi.carrd.co Tiktok: @chaukhadi2107 Instagram: chaukhadi #chaukhadi ...,10501879,222170,1040
