id,publishedAt,dimension,channelId,title,tags,subscriberCount,viewCount,likeCount,commentCount,tags_count,title_count,trend
5cvIea-711M,2023-05-17T13:00:06Z,PT56S,UCMzFGyigts0zrVWJgxG_2CA,Trẻ con thích chơi đồ cổ 🤡,"['fansie', 'nguyễn minh phương', 'phương fansie', 'phương vlog', 'fansie vlog', 'fansie family', 'fansie channel', 'fansie tiktok', 'tiktok fansie family', 'tiktok', 'tik tok', 'shorts', 'minh phương fansie', 'fansie family vlog', 'family vlog', 'vlog', 'vlog gia đình', 'tiktok dance', 'tiktok dances 2023', 'tiktok 2023', 'trend tiktok 2023', 'hot tiktok', 'hot mom tiktok', 'couple', 'funny couple', 'tiktok couple', 'nhảy tiktok', 'blackpink', 'lisa', 'skibidi toilet']",756000,35682393,588714,2399,61,7,1
vwEe6Sjtesc,2023-02-03T13:00:42Z,PT58S,UCMzFGyigts0zrVWJgxG_2CA,Vỏ quýt dày thì có móng tay nhọn 🤭,"['fansie', 'nguyễn minh phương', 'phương fansie', 'phương vlog', 'fansie vlog', 'fansie family', 'fansie channel', 'fansie tiktok', 'tiktok fansie family', 'tiktok', 'tik tok', 'shorts', 'minh phương fansie', 'fansie family vlog', 'family vlog', 'vlog', 'vlog gia đình', 'tiktok dance', 'tiktok dances 2023', 'tiktok 2023', 'trend tiktok 2023', 'hot tiktok', 'hot mom tiktok', 'couple', 'funny couple', 'tiktok couple', 'nhảy tiktok', 'blackpink', 'lisa', 'skibidi toilet']",756000,31593231,599107,1307,61,9,1
iwfT8hhha68,2023-04-01T13:00:34Z,PT47S,UCMzFGyigts0zrVWJgxG_2CA,Nheo nhóc 1 đàn lấy gì mà nuôi 😣,"['fansie', 'nguyễn minh phương', 'phương fansie', 'phương vlog', 'fansie vlog', 'fansie family', 'fansie channel', 'fansie tiktok', 'tiktok fansie family', 'tiktok', 'tik tok', 'shorts', 'minh phương fansie', 'fansie family vlog', 'family vlog', 'vlog', 'vlog gia đình', 'tiktok dance', 'tiktok dances 2023', 'tiktok 2023', 'trend tiktok 2023', 'hot tiktok', 'hot mom tiktok', 'couple', 'funny couple', 'tiktok couple', 'nhảy tiktok', 'blackpink', 'lisa', 'skibidi toilet']",756000,25066273,306354,515,61,9,1
JYARMrFRXKU,2023-03-16T13:00:13Z,PT16S,UCMzFGyigts0zrVWJgxG_2CA,"Mình bước qua đời nhau, để làm nhau đau (đẻ) 😡","['fansie', 'nguyễn minh phương', 'phương fansie', 'phương vlog', 'fansie vlog', 'fansie family', 'fansie channel', 'fansie tiktok', 'tiktok fansie family', 'tiktok', 'tik tok', 'shorts', 'minh phương fansie', 'fansie family vlog', 'family vlog', 'vlog', 'vlog gia đình', 'tiktok dance', 'tiktok dances 2023', 'tiktok 2023', 'trend tiktok 2023', 'hot tiktok', 'hot mom tiktok', 'couple', 'funny couple', 'tiktok couple', 'nhảy tiktok', 'blackpink', 'lisa', 'skibidi toilet']",756000,24946958,399805,965,61,11,1
LdxLagoBYKI,2023-01-13T13:00:12Z,PT1M,UCMzFGyigts0zrVWJgxG_2CA,Lần đầu làm bố mẹ kiểu 😂,"['fansie', 'nguyễn minh phương', 'phương fansie', 'phương vlog', 'fansie vlog', 'fansie family', 'fansie channel', 'fansie tiktok', 'tiktok fansie family', 'tiktok', 'tik tok', 'shorts', 'minh phương fansie', 'fansie family vlog', 'family vlog', 'vlog', 'vlog gia đình', 'tiktok dance', 'tiktok dances 2023', 'tiktok 2023', 'trend tiktok 2023', 'hot tiktok', 'hot mom tiktok', 'couple', 'funny couple', 'tiktok couple', 'nhảy tiktok', 'blackpink', 'lisa', 'skibidi toilet']",756000,21736219,375246,604,61,7,1
PTHfIpANKTw,2023-04-13T13:00:17Z,PT1M,UCMzFGyigts0zrVWJgxG_2CA,Cá không ăn muối cá ươn 😌,"['fansie', 'nguyễn minh phương', 'phương fansie', 'phương vlog', 'fansie vlog', 'fansie family', 'fansie channel', 'fansie tiktok', 'tiktok fansie family', 'tiktok', 'tik tok', 'shorts', 'minh phương fansie', 'fansie family vlog', 'family vlog', 'vlog', 'vlog gia đình', 'tiktok dance', 'tiktok dances 2023', 'tiktok 2023', 'trend tiktok 2023', 'hot tiktok', 'hot mom tiktok', 'couple', 'funny couple', 'tiktok couple', 'nhảy tiktok', 'blackpink', 'lisa', 'skibidi toilet']",756000,21677932,372055,660,61,7,1
nI9OOyPidh4,2023-02-27T13:01:26Z,PT1M,UCMzFGyigts0zrVWJgxG_2CA,Mỗi khi thấy chồng đi chơi với bạn vợ tôi kiểu 😟,"['fansie', 'nguyễn minh phương', 'phương fansie', 'phương vlog', 'fansie vlog', 'fansie family', 'fansie channel', 'fansie tiktok', 'tiktok fansie family', 'tiktok', 'tik tok', 'shorts', 'minh phương fansie', 'fansie family vlog', 'family vlog', 'vlog', 'vlog gia đình', 'tiktok dance', 'tiktok dances 2023', 'tiktok 2023', 'trend tiktok 2023', 'hot tiktok', 'hot mom tiktok', 'couple', 'funny couple', 'tiktok couple', 'nhảy tiktok', 'blackpink', 'lisa', 'skibidi toilet']",756000,16316163,329413,431,61,12,1
H907LCPrhdg,2023-06-06T13:00:12Z,PT9S,UCMzFGyigts0zrVWJgxG_2CA,Đố biết có gì mới 🤫,"['fansie', 'fansie family', 'fansie channel', 'fansie tiktok', 'tiktok fansie family', 'tiktok', 'tik tok', 'shorts', 'nguyễn minh phương', 'minh phương fansie', 'fansie family vlog', 'family vlog', 'vlog', 'vlog gia đình', 'tiktok dance', 'tiktok dances 2023', 'tiktok 2023', 'trend tiktok 2023', 'hot tiktok', 'hot mom tiktok', 'couple', 'funny couple', 'tiktok couple', 'nhảy tiktok', 'blackpink', 'lisa', 'skibidi toilet']",756000,16200793,189377,2173,55,6,1
UInMjbnCkDk,2023-07-14T12:08:12Z,PT1M,UCMzFGyigts0zrVWJgxG_2CA,không thấy con lợn cưới nào mà sao suốt ngày thấy ÁO MỚI thế nhỉ 😡😡 #mungsinhnhatGO #fansiefamily,"['fansie', 'fansie family', 'fansie channel', 'fansie tiktok', 'tiktok fansie family', 'tiktok', 'tik tok', 'shorts', 'nguyễn minh phương', 'minh phương fansie', 'fansie family vlog', 'family vlog', 'vlog', 'vlog gia đình', 'tiktok dance', 'tiktok dances 2023', 'tiktok 2023', 'trend tiktok 2023', 'hot tiktok', 'hot mom tiktok', 'couple', 'funny couple', 'tiktok couple', 'nhảy tiktok', 'blackpink', 'lisa', 'skibidi toilet']",756000,16061735,257315,502,55,18,1
bsnoPUtJw_k,2022-09-12T08:48:52Z,PT58S,UC_STX9XSCdObBUtY-65dw6A,Đại Chiến Thương Hiệu Coca Và Pepsi Không Bao Giờ Có Hồi Kết - TikTok Kiến Không Ngủ #Shorts,"['kiến', 'kiến không ngủ', 'kien khong ngu', 'kiến không ngủ tiktok', 'tiktok kiến không ngủ', 'tiktok', 'tik tok', 'kiến tiktok', 'kienkhongngu', 'giải trí', 'hài hước', 'tấu hài', 'hài tiktok', 'hài ngắn tiktok', 'tấu hài tiktok', 'tiktok giải trí', 'tiktok hài hước', 'comedy', 'tiktok comedy', 'kiến không ngủ show mặt', 'beatvn', 'beat', 'oppa huy idol', 'anh ba phai tv', 'tony tv', 'shorts', 'tiktok shorts', 'youtube shorts', 'coca', 'pepsi', 'coca vs pepsi', 'pepsi vs coca', 'coca cola', 'đại chiến thương hiệu coca vs pepsi']",295000,8283315,317527,1997,82,19,0
